method,reference,precision,recall,f1,aupr,pred_edges,true_edges,candidate_edges,reference_excluded,ref_nodes,overlap_nodes,ref_node_overlap_pct,gene_universe_overlap_pct,source_table,coverage_overlap,observed_base_rate,coverage_scenario_c,latent_true_edges_hat,latent_precision_hat,f1_ceiling,f1_ratio,aupr_ceiling,aupr_ratio,aupr_uplift_ratio
scenic_grnboost2,dorothea_trrust_union_immune,0.0229357798165137,0.0069066735733402,0.010616415632672,0.0004543169400756,3488,11583,24408540,False,17731,2089,11.781625401838587,42.33029381965552,grn_baselines_immune,0.11781625401838587,0.0004745470232959448,0.11781625401838587,98314.10866443274,0.19467415602039465,0.21079717457114028,0.05036317803723289,0.11792458771705586,0.0038526057107417856,-0.00017224415675676807
scenic_pruned,hpn_dream,0.0,0.0,0.0,3.014751626104746e-06,29,127,24408540,False,51,38,74.50980392156863,0.7700101317122594,grn_baselines_immune,0.7450980392156863,5.203096948854786e-06,0.7450980392156863,170.44736842105263,0.0,0.8539325842696629,0.0,0.7536500951164481,4.000200684163558e-06,-2.903682285812428e-06
scenic_pruned,beeline_gsd,0.0,0.0,0.0,1.237330177644851e-06,29,48,24408540,False,17,15,88.23529411764706,0.303951367781155,grn_baselines_immune,0.8823529411764706,1.966524831063226e-06,0.8823529411764706,54.4,0.0,0.9375,0.0,0.8922637172058658,1.3867314716321366e-06,-8.172429815150142e-07
scenic_pruned,dorothea_trrust_union_immune,0.0476190476190476,8.6333419666753e-05,0.0001723543605653,0.0003195052766069,29,11583,24408540,False,17731,2089,11.781625401838587,42.33029381965552,grn_baselines_immune,0.11781625401838587,0.0004745470232959448,0.11781625401838587,98314.10866443274,0.4041806286899632,0.21079717457114028,0.0008176312652954155,0.11792458771705586,0.002709403380518996,-0.0013200654999626755
pidc_proxy,hpn_dream,0.0,0.0,0.0,3.014717318258888e-06,15000,127,24408540,False,51,38,74.50980392156863,0.7700101317122594,grn_baselines_immune,0.7450980392156863,5.203096948854786e-06,0.7450980392156863,170.44736842105263,0.0,0.8539325842696629,0.0,0.7536500951164481,4.000155161916456e-06,-2.9037278083738116e-06
pidc_proxy,beeline_gsd,0.0,0.0,0.0,1.2376754593969737e-06,15000,48,24408540,False,17,15,88.23529411764706,0.303951367781155,grn_baselines_immune,0.8823529411764706,1.966524831063226e-06,0.8823529411764706,54.4,0.0,0.9375,0.0,0.8922637172058658,1.387118444390823e-06,-8.168560079034488e-07
pidc_proxy,dorothea_trrust_union_immune,0.0022,0.0028490028490028,0.0024827897528495,0.0003619776903496,15000,11583,24408540,False,17731,2089,11.781625401838587,42.33029381965552,grn_baselines_immune,0.11781625401838587,0.0004745470232959448,0.11781625401838587,98314.10866443274,0.018673145045476305,0.21079717457114028,0.0117780978701477,0.11792458771705586,0.0030695692675908833,-0.0009584443928790018
pidc_full,hpn_dream,0.0,0.0,0.0,3.014724826426898e-06,9950,127,24408540,False,51,38,74.50980392156863,0.7700101317122594,grn_baselines_immune,0.7450980392156863,5.203096948854786e-06,0.7450980392156863,170.44736842105263,0.0,0.8539325842696629,0.0,0.7536500951164481,4.000165124322165e-06,-2.9037178458993233e-06
pidc_full,beeline_gsd,0.0,0.0,0.0,1.2373111562757078e-06,9950,48,24408540,False,17,15,88.23529411764706,0.303951367781155,grn_baselines_immune,0.8823529411764706,1.966524831063226e-06,0.8823529411764706,54.4,0.0,0.9375,0.0,0.8922637172058658,1.3867101535299026e-06,-8.172642996642329e-07
pidc_full,dorothea_trrust_union_immune,0.0,0.0,0.0,0.0003108644286504,9950,11583,24408540,False,17731,2089,11.781625401838587,42.33029381965552,grn_baselines_immune,0.11781625401838587,0.0004745470232959448,0.11781625401838587,98314.10866443274,0.0,0.21079717457114028,0.0,0.11792458771705586,0.002636129026766473,-0.001393635912586288
pearson,hpn_dream,0.0,0.0,0.0,3.014392064481389e-06,49900,127,24408540,False,51,38,74.50980392156863,0.7700101317122594,grn_baselines_immune,0.7450980392156863,5.203096948854786e-06,0.7450980392156863,170.44736842105263,0.0,0.8539325842696629,0.0,0.7536500951164481,3.999723590581686e-06,-2.9041593826881113e-06
pearson,beeline_gsd,0.0,0.0,0.0,1.2367378828042471e-06,49900,48,24408540,False,17,15,88.23529411764706,0.303951367781155,grn_baselines_immune,0.8823529411764706,1.966524831063226e-06,0.8823529411764706,54.4,0.0,0.9375,0.0,0.8922637172058658,1.3860676602172127e-06,-8.179067943929637e-07
pearson,dorothea_trrust_union_immune,0.0013226452905811,0.0056980056980056,0.0021469349251012,0.0003420434736741,49900,11583,24408540,False,17731,2089,11.781625401838587,42.33029381965552,grn_baselines_immune,0.11781625401838587,0.0004745470232959448,0.11781625401838587,98314.10866443274,0.011226339706698653,0.21079717457114028,0.010184837294280944,0.11792458771705586,0.002900527195352908,-0.0011281694654098546
spearman,hpn_dream,0.0,0.0,0.0,3.0143920724455973e-06,49900,127,24408540,False,51,38,74.50980392156863,0.7700101317122594,grn_baselines_immune,0.7450980392156863,5.203096948854786e-06,0.7450980392156863,170.44736842105263,0.0,0.8539325842696629,0.0,0.7536500951164481,3.9997236011492e-06,-2.904159372120524e-06
spearman,beeline_gsd,0.0,0.0,0.0,1.2367378828042471e-06,49900,48,24408540,False,17,15,88.23529411764706,0.303951367781155,grn_baselines_immune,0.8823529411764706,1.966524831063226e-06,0.8823529411764706,54.4,0.0,0.9375,0.0,0.8922637172058658,1.3860676602172127e-06,-8.179067943929637e-07
spearman,dorothea_trrust_union_immune,0.0013426853707414,0.0057843391176724,0.0021794642421482,0.0003433953192191,49900,11583,24408540,False,17731,2089,11.781625401838587,42.33029381965552,grn_baselines_immune,0.11781625401838587,0.0004745470232959448,0.11781625401838587,98314.10866443274,0.011396435762860585,0.21079717457114028,0.010339153010861014,0.11792458771705586,0.0029119908397986583,-0.001116659503071699
random,hpn_dream,0.0,0.0,0.0,3.0137961912244524e-06,49809,127,24408540,False,51,38,74.50980392156863,0.7700101317122594,grn_baselines_immune,0.7450980392156863,5.203096948854786e-06,0.7450980392156863,170.44736842105263,0.0,0.8539325842696629,0.0,0.7536500951164481,3.998932940834811e-06,-2.9049500378935622e-06
random,beeline_gsd,0.0,0.0,0.0,1.2366896630794875e-06,49809,48,24408540,False,17,15,88.23529411764706,0.303951367781155,grn_baselines_immune,0.8823529411764706,1.966524831063226e-06,0.8823529411764706,54.4,0.0,0.9375,0.0,0.8922637172058658,1.386013618207177e-06,-8.179608365221066e-07
random,dorothea_trrust_union_immune,0.0004818406312112,0.002072002072002,0.0007818608287724,0.0003119518721161,49809,11583,24408540,False,17731,2089,11.781625401838587,42.33029381965552,grn_baselines_immune,0.11781625401838587,0.0004745470232959448,0.11781625401838587,98314.10866443274,0.004089763634277543,0.21079717457114028,0.0037090669282596857,0.11792458771705586,0.0026453505427094346,-0.0013843771378827916
