method,reference,source_table,c_value,f1_ceiling,aupr_ceiling,f1_ratio,aupr_ratio
probe_attention,dorothea_human,probe_priors,0.07850059160543031,0.14557357170954577,0.07861621108644201,0.0010010590965863079,0.002992077559585755
probe_attention,dorothea_human,probe_priors,0.08043887781791008,0.14890037644770257,0.0805568635874773,0.0009786929466466668,0.0029199970124949882
probe_attention,dorothea_human,probe_priors,0.08237716403038983,0.15221526611601155,0.08249749940241909,0.0009573793214100676,0.002851308254374828
probe_attention,dorothea_human,probe_priors,0.0843154502428696,0.1555183046114196,0.08443811870081165,0.0009370456329659558,0.0027857773791108743
probe_attention,dorothea_human,probe_priors,0.08625373645534937,0.1588095553748088,0.08637872164494138,0.0009176258181597813,0.0027231915051752283
probe_attention,dorothea_human,probe_priors,0.08819202266782912,0.1620890813950577,0.08831930839031414,0.0008990596215868456,0.0026633564652913076
probe_attention,dorothea_human,probe_priors,0.09013030888030887,0.1653569452130603,0.09025987908609115,0.0008812919711030684,0.0026060947942001815
probe_attention,dorothea_human,probe_priors,0.09206859509278864,0.16861320892570114,0.0922004338754879,0.0008642724322186078,0.0025512439705984544
probe_attention,dorothea_human,probe_priors,0.09400688130526841,0.17185793418978873,0.09414097289613978,0.0008479547299891767,0.002498654876563798
probe_attention,dorothea_human,probe_priors,0.09594516751774816,0.17509118222594727,0.09608149628043802,0.0008322963288599246,0.002448190443712849
probe_attention,dorothea_human,probe_priors,0.09788345373022792,0.1783130138224669,0.098022004155839,0.000817258062428861,0.0023997244602082337
probe_attention,dorothea_human,probe_priors,0.09982173994270768,0.1815234893391135,0.09996249664514911,0.0008028038063446344,0.0023531405167521373
probe_attention,dorothea_human,probe_priors,0.10176002615518745,0.1847226687108979,0.10190297386678802,0.0007889001885874261,0.0023083310730351927
probe_attention,dorothea_human,probe_priors,0.10369831236766722,0.18791061145180576,0.10384343593503206,0.0007755163322417021,0.002265196628880473
probe_attention,dorothea_human,probe_priors,0.10563659858014697,0.19108737665848788,0.10578388296023976,0.0007626236265875647,0.002223644986635749
probe_attention,dorothea_human,probe_priors,0.10757488479262672,0.19425302301391234,0.10772431504906105,0.0007501955229389816,0.0021835905933054274
probe_attention,dorothea_human,probe_priors,0.10951317100510649,0.1974076087909775,0.10966473230463157,0.0007382073521629146,0.0021449539525430954
probe_attention,dorothea_human,probe_priors,0.11145145721758626,0.20055119185608783,0.11160513482675348,0.0007266361612399281,0.00210766109800006
probe_attention,dorothea_human,probe_priors,0.11338974343006603,0.2036838296726922,0.11354552271206389,0.0007154605665878132,0.002071643120688262
probe_attention,dorothea_human,probe_priors,0.11532802964254577,0.20680557930478538,0.11548589605419197,0.0007046606221761055,0.0020368357440030587
probe_attention,dorothea_human,probe_priors,0.11726631585502553,0.20991649742037294,0.11742625494390568,0.0006942177007201566,0.0020031789408916
probe_attention,dorothea_human,probe_priors,0.1192046020675053,0.2130166402949001,0.11936659946924885,0.0006841143864660272,0.0019706165883698373
